scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,avg_mcs,cell_id,cons_retx_max,duUeIndex,max_nof_harq_retxs,mcs_count,mcs_max,mcs_min,stream_id
00,baseline_clean,baseline,2026-03-25T19:50:23.000000Z,1774468223.0,18.0,27.94,0,0,0,4,3330,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:24.000000Z,1774468224.0,19.0,27.2,0,0,0,4,1025,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:24.000000Z,1774468224.0,19.0,27.95,0,0,0,4,3530,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:25.000000Z,1774468225.0,20.0,27.22,0,0,0,4,1079,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:25.000000Z,1774468225.0,20.0,27.95,0,0,0,4,3722,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:26.000000Z,1774468226.0,21.0,27.24,0,0,0,4,1136,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:26.000000Z,1774468226.0,21.0,27.95,0,0,0,4,3909,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:27.000000Z,1774468227.0,22.0,27.26,0,0,0,4,1191,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:27.000000Z,1774468227.0,22.0,27.95,0,0,0,4,4116,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:28.000000Z,1774468228.0,23.0,27.28,0,0,0,4,1244,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:28.000000Z,1774468228.0,23.0,27.94,0,0,0,4,4317,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:29.000000Z,1774468229.0,24.0,27.31,0,0,0,4,1301,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:29.000000Z,1774468229.0,24.0,27.95,0,0,0,4,4506,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:30.000000Z,1774468230.0,25.0,27.32,0,0,0,4,1355,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:30.000000Z,1774468230.0,25.0,27.95,0,0,0,4,4695,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:31.000000Z,1774468231.0,26.0,27.33,0,0,0,4,1413,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:31.000000Z,1774468231.0,26.0,27.95,0,0,0,4,4890,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
00,baseline_clean,baseline,2026-03-25T19:50:33.000000Z,1774468233.0,28.0,27.36,0,0,0,4,1524,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
00,baseline_clean,baseline,2026-03-25T19:50:33.000000Z,1774468233.0,28.0,27.95,0,0,0,4,5268,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
