scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,bytes,cnt,duUeIndex
B1,baseline_indoor_los,baseline,2026-04-01T16:06:39.000000Z,1775059599.0,63.0,977507,86,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:40.000000Z,1775059600.0,64.0,969744,76,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:41.000000Z,1775059601.0,65.0,921459,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:42.000000Z,1775059602.0,66.0,936988,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:43.000000Z,1775059603.0,67.0,977763,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:44.000000Z,1775059604.0,68.0,943598,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:45.000000Z,1775059605.0,69.0,933798,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:46.000000Z,1775059606.0,70.0,876807,75,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:47.000000Z,1775059607.0,71.0,957401,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:49.000000Z,1775059609.0,73.0,969625,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:50.000000Z,1775059610.0,74.0,999049,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:51.000000Z,1775059611.0,75.0,944843,72,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:53.000000Z,1775059613.0,77.0,2033030,167,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:54.000000Z,1775059614.0,78.0,985388,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:55.000000Z,1775059615.0,79.0,945055,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:56.000000Z,1775059616.0,80.0,977966,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:57.000000Z,1775059617.0,81.0,949731,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:58.000000Z,1775059618.0,82.0,1047369,84,0
B1,baseline_indoor_los,baseline,2026-04-01T16:06:59.000000Z,1775059619.0,83.0,922769,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:00.000000Z,1775059620.0,84.0,967033,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:01.000000Z,1775059621.0,85.0,987121,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:02.000000Z,1775059622.0,86.0,1011827,85,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:03.000000Z,1775059623.0,87.0,946597,75,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:04.000000Z,1775059624.0,88.0,900362,75,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:05.000000Z,1775059625.0,89.0,1014786,83,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:06.000000Z,1775059626.0,90.0,986816,81,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:07.000000Z,1775059627.0,91.0,992699,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:09.000000Z,1775059629.0,93.0,1944912,165,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:10.000000Z,1775059630.0,94.0,945256,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:11.000000Z,1775059631.0,95.0,1017918,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:12.000000Z,1775059632.0,96.0,856123,73,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:13.000000Z,1775059633.0,97.0,1084825,83,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:14.000000Z,1775059634.0,98.0,971809,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:15.000000Z,1775059635.0,99.0,1023676,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:16.000000Z,1775059636.0,100.0,897936,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:17.000000Z,1775059637.0,101.0,966474,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:18.000000Z,1775059638.0,102.0,982545,75,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:19.000000Z,1775059639.0,103.0,946536,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:20.000000Z,1775059640.0,104.0,973599,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:21.000000Z,1775059641.0,105.0,958492,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:22.000000Z,1775059642.0,106.0,1028487,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:23.000000Z,1775059643.0,107.0,932016,76,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:25.000000Z,1775059645.0,109.0,1961407,157,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:26.000000Z,1775059646.0,110.0,962675,75,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:27.000000Z,1775059647.0,111.0,933834,77,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:28.000000Z,1775059648.0,112.0,950095,74,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:29.000000Z,1775059649.0,113.0,949984,76,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:30.000000Z,1775059650.0,114.0,924672,79,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:31.000000Z,1775059651.0,115.0,968356,84,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:32.000000Z,1775059652.0,116.0,933044,78,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:33.000000Z,1775059653.0,117.0,1073453,80,0
B1,baseline_indoor_los,baseline,2026-04-01T16:07:34.000000Z,1775059654.0,118.0,945374,75,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:11.000000Z,1775059691.0,1.0,365,14,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:13.000000Z,1775059693.0,3.0,434032,47,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:14.000000Z,1775059694.0,4.0,1055674,70,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:15.000000Z,1775059695.0,5.0,1167883,61,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:16.000000Z,1775059696.0,6.0,1033601,62,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:17.000000Z,1775059697.0,7.0,1060042,53,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:18.000000Z,1775059698.0,8.0,1111002,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:19.000000Z,1775059699.0,9.0,1122324,55,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:20.000000Z,1775059700.0,10.0,1161484,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:21.000000Z,1775059701.0,11.0,1439636,75,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:22.000000Z,1775059702.0,12.0,1107686,56,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:24.000000Z,1775059704.0,14.0,2619116,133,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:25.000000Z,1775059705.0,15.0,1220432,66,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:26.000000Z,1775059706.0,16.0,1178969,54,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:27.000000Z,1775059707.0,17.0,1224215,59,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:28.000000Z,1775059708.0,18.0,1221599,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:29.000000Z,1775059709.0,19.0,1181423,59,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:30.000000Z,1775059710.0,20.0,1108737,54,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:31.000000Z,1775059711.0,21.0,1209089,64,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:32.000000Z,1775059712.0,22.0,1214206,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:33.000000Z,1775059713.0,23.0,1133241,59,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:34.000000Z,1775059714.0,24.0,1142861,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:35.000000Z,1775059715.0,25.0,1149098,60,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:36.000000Z,1775059716.0,26.0,1175407,62,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:37.000000Z,1775059717.0,27.0,1123813,66,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:38.000000Z,1775059718.0,28.0,3153518,57,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:40.000000Z,1775059720.0,30.0,4572585,104,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:41.000000Z,1775059721.0,31.0,1164535,61,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:42.000000Z,1775059722.0,32.0,1198779,64,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:43.000000Z,1775059723.0,33.0,1298257,60,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:44.000000Z,1775059724.0,34.0,1304418,62,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:45.000000Z,1775059725.0,35.0,1167936,51,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:46.000000Z,1775059726.0,36.0,1344973,63,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:47.000000Z,1775059727.0,37.0,1073950,55,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:48.000000Z,1775059728.0,38.0,3913460,26,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:49.000000Z,1775059729.0,39.0,1521882,72,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:50.000000Z,1775059730.0,40.0,1253178,65,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:51.000000Z,1775059731.0,41.0,1196352,65,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:52.000000Z,1775059732.0,42.0,1190576,54,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:53.000000Z,1775059733.0,43.0,4324082,44,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:54.000000Z,1775059734.0,44.0,1328176,65,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:56.000000Z,1775059736.0,46.0,2463639,129,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:57.000000Z,1775059737.0,47.0,1194692,52,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:08:58.000000Z,1775059738.0,48.0,5306773,20,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:00.000000Z,1775059740.0,50.0,5600000,8,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:01.000000Z,1775059741.0,51.0,6681152,16,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:02.000000Z,1775059742.0,52.0,2100660,58,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:03.000000Z,1775059743.0,53.0,1753287,54,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:04.000000Z,1775059744.0,54.0,2045357,52,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:05.000000Z,1775059745.0,55.0,1769145,56,0
B2,baseline_pedestrian_nlos,baseline,2026-04-01T16:09:06.000000Z,1775059746.0,56.0,14030,5,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:38.000000Z,1775061338.0,0.0,164,7,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:39.000000Z,1775061339.0,1.0,229,9,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:40.000000Z,1775061340.0,2.0,939846,48,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:41.000000Z,1775061341.0,3.0,2131531,80,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:42.000000Z,1775061342.0,4.0,2015637,68,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:43.000000Z,1775061343.0,5.0,2075389,73,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:44.000000Z,1775061344.0,6.0,2047899,77,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:45.000000Z,1775061345.0,7.0,2003355,74,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:46.000000Z,1775061346.0,8.0,1935522,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:48.000000Z,1775061348.0,10.0,4159707,144,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:49.000000Z,1775061349.0,11.0,2111693,71,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:50.000000Z,1775061350.0,12.0,2077748,78,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:51.000000Z,1775061351.0,13.0,2190388,77,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:52.000000Z,1775061352.0,14.0,2214096,75,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:53.000000Z,1775061353.0,15.0,1969578,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:54.000000Z,1775061354.0,16.0,2236433,63,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:55.000000Z,1775061355.0,17.0,2089838,59,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:56.000000Z,1775061356.0,18.0,2195837,55,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:57.000000Z,1775061357.0,19.0,2172680,44,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:58.000000Z,1775061358.0,20.0,2131544,52,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:35:59.000000Z,1775061359.0,21.0,2108843,66,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:00.000000Z,1775061360.0,22.0,2089292,64,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:01.000000Z,1775061361.0,23.0,2126957,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:02.000000Z,1775061362.0,24.0,2099618,73,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:03.000000Z,1775061363.0,25.0,2015365,67,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:05.000000Z,1775061365.0,27.0,4122541,144,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:06.000000Z,1775061366.0,28.0,2045376,70,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:07.000000Z,1775061367.0,29.0,2137389,72,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:08.000000Z,1775061368.0,30.0,2171582,76,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:09.000000Z,1775061369.0,31.0,2053870,73,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:10.000000Z,1775061370.0,32.0,1982109,67,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:11.000000Z,1775061371.0,33.0,2017223,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:12.000000Z,1775061372.0,34.0,2122898,73,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:13.000000Z,1775061373.0,35.0,2103847,74,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:14.000000Z,1775061374.0,36.0,1957136,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:15.000000Z,1775061375.0,37.0,2025385,67,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:16.000000Z,1775061376.0,38.0,2004639,67,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:17.000000Z,1775061377.0,39.0,2015427,68,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:18.000000Z,1775061378.0,40.0,1966421,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:19.000000Z,1775061379.0,41.0,2036255,71,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:21.000000Z,1775061381.0,43.0,4082146,141,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:22.000000Z,1775061382.0,44.0,1982932,63,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:23.000000Z,1775061383.0,45.0,2094191,76,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:24.000000Z,1775061384.0,46.0,2151962,77,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:25.000000Z,1775061385.0,47.0,2001231,64,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:26.000000Z,1775061386.0,48.0,2282399,70,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:27.000000Z,1775061387.0,49.0,2093336,66,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:28.000000Z,1775061388.0,50.0,1950923,67,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:29.000000Z,1775061389.0,51.0,1985711,70,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:30.000000Z,1775061390.0,52.0,2076730,75,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:31.000000Z,1775061391.0,53.0,2003323,69,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:32.000000Z,1775061392.0,54.0,1935861,65,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:33.000000Z,1775061393.0,55.0,1967980,71,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:34.000000Z,1775061394.0,56.0,1981663,68,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:35.000000Z,1775061395.0,57.0,2142122,73,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:37.000000Z,1775061397.0,59.0,3910336,128,0
L1,rlf_cycle_clean_channel,rlf_cycle,2026-04-01T16:36:38.000000Z,1775061398.0,60.0,2387147,80,0
