scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,data_pdu_tx_bytes,data_pdu_retx_bytes,sdu_tx_latency_count,sdu_tx_latency_avg_ns,sdu_tx_latency_max_ns,cu_ue_index
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:27:59+02:00,1775118479.0,48.0,78571,0,109,13195.91743119266,40384,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:00+02:00,1775118480.0,49.0,542429,0,747,13912.888888888889,103511,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:01+02:00,1775118481.0,50.0,293708,0,404,13478.74504950495,37980,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:02+02:00,1775118482.0,51.0,230777,0,335,13765.501492537314,97771,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:03+02:00,1775118483.0,52.0,244335,0,361,14212.56786703601,102018,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:04+02:00,1775118484.0,53.0,206523,0,285,12843.192982456141,74367,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:05+02:00,1775118485.0,54.0,260329,0,383,12946.284595300262,109332,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:06+02:00,1775118486.0,55.0,149770,0,230,14558.091304347827,46566,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:07+02:00,1775118487.0,56.0,162793,0,223,13861.331838565022,51876,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:08+02:00,1775118488.0,57.0,162887,0,273,13266.08424908425,75940,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:09+02:00,1775118489.0,58.0,176021,0,243,13567.604938271605,61033,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:10+02:00,1775118490.0,59.0,156985,0,239,12371.610878661088,58878,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:11+02:00,1775118491.0,60.0,133823,0,185,14177.632432432432,61323,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:12+02:00,1775118492.0,61.0,103234,0,142,13186.549295774648,33852,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:13+02:00,1775118493.0,62.0,85841,0,119,13150.764705882353,63427,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:14+02:00,1775118494.0,63.0,171572,0,236,13935.766949152543,40614,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:15+02:00,1775118495.0,64.0,237002,0,326,12523.944785276073,45855,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:16+02:00,1775118496.0,65.0,177388,0,244,13652.438524590163,75470,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:17+02:00,1775118497.0,66.0,71301,0,99,13229.020202020201,46066,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:18+02:00,1775118498.0,67.0,228278,0,314,13567.920382165605,170164,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:19+02:00,1775118499.0,68.0,220953,0,303,12906.168316831683,162761,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:20+02:00,1775118500.0,69.0,136841,0,191,12768.188481675392,88684,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:21+02:00,1775118501.0,70.0,136707,0,213,12685.018779342723,43620,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:22+02:00,1775118502.0,71.0,168585,0,255,14150.203921568627,95797,0
T1,driveby_vehicular_epa,time_varying,2026-04-02T10:28:23+02:00,1775118503.0,72.0,225425,0,311,14094.254019292604,90898,0
