scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,avg_mcs,cell_id,cons_retx_max,duUeIndex,max_nof_harq_retxs,mcs_count,mcs_max,mcs_min,stream_id
B1,baseline_indoor_los,baseline,2026-04-01T16:05:54.000000Z,1775059554.0,18.0,27.62,0,0,0,4,8701,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:54.000000Z,1775059554.0,18.0,27.95,0,0,0,4,3437,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:55.000000Z,1775059555.0,19.0,27.63,0,0,0,4,9244,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:55.000000Z,1775059555.0,19.0,27.95,0,0,0,4,3636,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:56.000000Z,1775059556.0,20.0,27.63,0,0,0,4,9802,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:56.000000Z,1775059556.0,20.0,27.95,0,0,0,4,3835,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:57.000000Z,1775059557.0,21.0,27.64,0,0,0,4,10359,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:57.000000Z,1775059557.0,21.0,27.95,0,0,0,4,4030,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
B1,baseline_indoor_los,baseline,2026-04-01T16:05:58.000000Z,1775059558.0,22.0,27.64,0,0,0,4,10909,28,0,00101a85-7541-ec24-90c9-4e1ae9d5f08e
B1,baseline_indoor_los,baseline,2026-04-01T16:05:58.000000Z,1775059558.0,22.0,27.96,0,0,0,4,4231,28,0,001012d1-75d3-e185-7e02-3e162a440fdb
