scenario_id,label,category,timestamp_utc,timestamp_unix,relative_s,hook_name,max_us,num,p50_us,p90_us,p99_us
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,rlc_ul_sdu_delivered,8.102,7,3.072,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,rlc_ul_rx_pdu,4.33,7,3.072,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,fapi_ul_tti_request,12.292,790,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,fapi_dl_tti_request,9.428,790,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,e1_cucp_bearer_context_setup,9.848,1,12.288,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,ngap_procedure_completed,18.508,2,6.144,24.576,24.576
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,ngap_procedure_started,4.819,1,6.144,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:06.000000Z,1774468206.0,1.0,rrc_ue_procedure_completed,7.054,2,6.144,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,pdcp_dl_tx_data_pdu,2.933,8,1.536,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,pdcp_dl_new_sdu,6.216,8,3.072,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,pdcp_ul_deliver_sdu,9.988,318,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,pdcp_ul_rx_data_pdu,10.895,318,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_dl_tx_pdu,8.66,33,3.072,6.144,12.288
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_dl_sdu_delivered,11.244,8,3.072,12.288,12.288
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_dl_sdu_send_completed,6.286,8,1.536,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_dl_sdu_send_started,2.864,8,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_dl_new_sdu,3.771,8,3.072,3.072,3.072
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_ul_sdu_delivered,12.711,318,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,rlc_ul_rx_pdu,7.613,376,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,fapi_ul_tti_request,12.362,803,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:07.000000Z,1774468207.0,2.0,fapi_dl_tti_request,10.616,803,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,pdcp_ul_deliver_sdu,6.286,889,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,pdcp_ul_rx_data_pdu,18.647,889,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,rlc_dl_tx_pdu,7.124,53,3.072,6.144,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,rlc_ul_sdu_delivered,14.807,889,1.536,3.072,12.288
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,rlc_ul_rx_pdu,26.749,1068,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,fapi_ul_tti_request,12.432,663,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:08.000000Z,1774468208.0,3.0,fapi_dl_tti_request,7.194,663,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,pdcp_ul_deliver_sdu,11.524,901,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,pdcp_ul_rx_data_pdu,18.019,901,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,rlc_dl_tx_pdu,10.615,54,3.072,6.144,12.288
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,rlc_ul_sdu_delivered,12.292,901,1.536,3.072,12.288
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,rlc_ul_rx_pdu,13.27,1096,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,fapi_ul_tti_request,16.622,684,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:09.000000Z,1774468209.0,4.0,fapi_dl_tti_request,9.429,684,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,pdcp_ul_deliver_sdu,9.918,894,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,pdcp_ul_rx_data_pdu,10.477,894,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,rlc_dl_tx_pdu,8.242,54,3.072,6.144,12.288
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,rlc_ul_sdu_delivered,11.035,894,1.536,3.072,6.144
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,rlc_ul_rx_pdu,15.715,1060,1.536,1.536,6.144
00,baseline_clean,baseline,2026-03-25T19:50:10.000000Z,1774468210.0,5.0,fapi_ul_tti_request,17.74,663,1.536,3.072,6.144
